,Address,latitude,longitude
87,"Białoruska, 61-001 Poznań, Poland",52.4368698,16.931742
88,"Białośliwska, 60-418 Poznań, Poland",52.432173,16.8414763
89,"Białostocka, Poznań, Poland",52.4080132,16.9826683
90,"Bibianny Moraczewskiej, 60-479 Poznań, Poland",52.4508442,16.8914205
91,"Biebrzańska, 60-406 Poznań, Poland",52.4271427,16.8597082
92,"Biecka, 60-473 Poznań, Poland",52.4520026,16.8792309
93,"Biedrzyckiego, 61-001 Poznań, Poland",52.39032630000001,16.8871088
94,"Biegańskiego, 61-001 Poznań, Poland",52.4536909,16.9261792
95,"Bielniki, 61-001 Poznań, Poland",52.3948985,16.9357708
96,"Bielska, 61-434 Poznań, Poland",52.36501759999999,16.8975947
97,"Bieszczady, 60-415 Poznań, Poland",52.4353228,16.8485961
98,"Biłgorajska, 61-001 Poznań, Poland",52.4130129,17.0319934
99,"Biskupińska, Poznań, Poland",52.4533754,16.8512665
100,"Bitwy pod Siekierkami, 61-001 Poznań, Poland",52.4405668,16.9278083
101,"Bitwy pod Studziankami, 61-001 Poznań, Poland",52.43729099999999,16.9281054
102,"Biwakowa, 62-090 Poznań, Poland",52.4730875,16.758811
103,"Blacharska, 61-001 Poznań, Poland",52.4214564,16.9660443
104,"Bławatkowa, 61-001 Poznań, Poland",52.3718247,16.9124356
105,"Błażeja, 61-001 Poznań, Poland",52.4558154,16.9437899
106,"Błękitna, 60-656 Poznań, Poland",52.4304135,16.9047364
107,"Bliźniąt, 61-001 Poznań, Poland",52.39294109999999,16.9839267
108,"Błońska, 61-001 Poznań, Poland",52.3594539,16.8795751
109,"Błotna, 61-001 Poznań, Poland",52.3716364,16.8887463
110,"Bluszczowa, 61-001 Poznań, Poland",52.3765363,16.9080817
111,"Bnińska, 61-001 Poznań, Poland",52.4116353,16.9676805
112,"Bobolicka, 60-189 Poznań, Poland",52.407752,16.8257432
113,"Bobrownicka, Poznań, Poland",52.3632544,17.03532
114,"Bobrzańska, 61-001 Poznań, Poland",52.3847665,16.9698205
115,"Bociania, 60-621 Poznań, Poland",52.4203757,16.8991013
116,"Boczna, 61-001 Poznań, Poland",52.3762146,16.8658696
117,"Boczowska, 60-189 Poznań, Poland",52.4127233,16.8275515
118,"Bodawska, 61-001 Poznań, Poland",52.37125839999999,16.9921524
119,"Bogumiła, 61-608 Poznań, Poland",52.4572272,16.9493509
120,"Bogusława, 61-608 Poznań, Poland",52.45714049999999,16.9483317
121,"Bogusławskiego, 61-001 Poznań, Poland",52.3939513,16.8942433
122,"Bogusza, 61-608 Poznań, Poland",52.4549536,16.9462642
123,"Bohaterów Westerplatte, Poznań, Poland",52.3706391,16.8841195
124,"Bohuszewiczówny, 61-422 Poznań, Poland",52.3692839,16.8883138
125,"Bojanowska, 61-001 Poznań, Poland",52.37481630000001,16.8743397
126,"Bojerowa, 60-480 Poznań, Poland",52.4752048,16.7653387
127,"Bolesława Krzywoustego, Poznań, Poland",52.37232460000001,16.9866845
128,"Bolesławy, 61-055 Poznań, Poland",52.4080123,17.0041103
129,"Bolka, 61-001 Poznań, Poland",52.4529292,16.9476952
130,"Bolkowicka, Poznań, Poland",52.393652,16.8622809
131,"Bonin, Poznań, Poland",52.4306671,16.9074998
132,"Boranta, 61-001 Poznań, Poland",52.4565597,16.9509243
133,"Borecka, Poznań, Poland",52.3597022,17.0434503
134,"Borowa, Poznań, Poland",52.3832362,17.0446687
135,"Borowikowa, 61-055 Poznań, Poland",52.4157434,17.0207947
136,"Borówki, Poznań, Poland",52.3895061,17.0375217
137,"Borówkowa, 61-680 Poznań, Poland",52.4850723,16.9442901
138,"Borsucza, 61-065 Poznań, Poland",52.394456,17.019553
139,"Bortnowskiego, 61-001 Poznań, Poland",52.4451464,16.9424034
140,"Boruty, 60-194 Poznań, Poland",52.4084856,16.83825
141,"Bosa, 61-001 Poznań, Poland",52.3833016,16.8893046
142,"Bosmańska, 60-480 Poznań, Poland",52.4756149,16.770674
143,"Botaniczna, Poznań, Poland",52.41858509999999,16.8855825
144,"Bożeny, 61-055 Poznań, Poland",52.40959119999999,17.0097879
145,"Bóżnicza, 61-001 Poznań, Poland",52.4125469,16.9353583
146,"Bożydara, Poznań, Poland",52.4601915,16.9546317
147,"Bożymira, 61-608 Poznań, Poland",52.4576341,16.9484764
148,"Bożywoja, 61-607 Poznań, Poland",52.4609892,16.9627962
149,"Brandstaettera, 61-001 Poznań, Poland",52.42588989999999,16.934474
150,"Braniborska, 60-179 Poznań, Poland",52.3937766,16.8383655
151,"Braniewska, 60-454 Poznań, Poland",52.43858830000001,16.821511
152,"Bratkowa, 60-175 Poznań, Poland",52.3801133,16.8150252
153,"Bratumiły, 61-001 Poznań, Poland",52.45765050000001,16.950716
